unit,group,conversation,turn,Data,Theory,Question,Example,Critique
At01,A_tight,At01_session,0,1,1,0,0,0
At01,A_tight,At01_session,1,1,0,0,1,0
At01,A_tight,At01_session,2,1,0,0,0,0
At01,A_tight,At01_session,3,0,0,0,1,0
At01,A_tight,At01_session,4,0,0,0,0,1
At01,A_tight,At01_session,5,0,0,1,0,0
At01,A_tight,At01_session,6,0,0,1,0,0
At01,A_tight,At01_session,7,1,0,1,0,0
At01,A_tight,At01_session,8,0,0,0,0,0
At01,A_tight,At01_session,9,0,0,0,0,0
At01,A_tight,At01_session,10,0,0,1,1,0
At01,A_tight,At01_session,11,1,0,0,1,0
At01,A_tight,At01_session,12,0,0,0,1,0
At01,A_tight,At01_session,13,0,0,1,0,0
At01,A_tight,At01_session,14,0,0,1,1,0
At01,A_tight,At01_session,15,0,0,0,1,0
At01,A_tight,At01_session,16,1,0,0,0,0
At01,A_tight,At01_session,17,1,0,0,0,0
At01,A_tight,At01_session,18,0,0,0,1,0
At01,A_tight,At01_session,19,1,0,0,0,0
At02,A_tight,At02_session,0,1,0,0,0,0
At02,A_tight,At02_session,1,0,0,1,0,0
At02,A_tight,At02_session,2,0,0,0,1,0
At02,A_tight,At02_session,3,1,0,0,1,0
At02,A_tight,At02_session,4,1,0,1,1,0
At02,A_tight,At02_session,5,1,0,0,1,0
At02,A_tight,At02_session,6,0,0,0,1,0
At02,A_tight,At02_session,7,1,0,0,1,0
At02,A_tight,At02_session,8,0,0,1,0,0
At02,A_tight,At02_session,9,1,0,0,1,0
At02,A_tight,At02_session,10,1,0,0,0,0
At02,A_tight,At02_session,11,0,0,1,1,0
At02,A_tight,At02_session,12,0,1,0,1,0
At02,A_tight,At02_session,13,1,0,0,0,0
At02,A_tight,At02_session,14,1,0,0,0,0
At02,A_tight,At02_session,15,0,0,0,0,0
At02,A_tight,At02_session,16,1,0,0,0,0
At02,A_tight,At02_session,17,1,0,0,0,0
At02,A_tight,At02_session,18,0,0,1,0,0
At02,A_tight,At02_session,19,1,0,0,1,0
At03,A_tight,At03_session,0,1,0,0,0,0
